dataset,range_m,a1,a2,a3,abs_rel,sq_rel,rmse,rmse_log,log_10,silog,mae,mdae,p90,iRMSE,iMAE,iAbsRel,#params
flsea,10.0,0.9,0.986,0.997,0.111,0.098,0.619,0.141,0.047,0.127,0.387,0.235,0.909,0.054,0.041,0.108,54.14M
flsea,5.0,0.928,0.993,0.999,0.102,0.057,0.383,0.125,0.043,0.11,0.271,0.205,0.571,0.056,0.043,0.096,54.14M
flsea,2.0,0.897,0.989,0.999,0.127,0.044,0.24,0.136,0.051,0.089,0.206,0.193,0.351,0.083,0.07,0.11,54.14M
