level,class,iou,dice,precision,recall
0.0,RO,0.9685306943556411,0.9828491856612598,0.9989813078900083,0.9692459005777674
0.0,FV,0.792311931256882,0.8291980320867802,0.8532356756117565,0.9347105547474354
0.0,HD,0.9220493404436111,0.9585632626314247,0.9755679206664021,0.9427985884484815
0.0,RI,0.8362576848760672,0.8926532199979385,0.9874212914903184,0.8470518916512606
0.0,WR,0.7936214891216101,0.8198398539139314,0.8048640364711536,0.9826920332052534
0.25,RO,0.9413643148082464,0.9659580964323249,0.9997871504066057,0.9414869304884106
0.25,FV,0.7814250575995001,0.82222934828447,0.8550504964986809,0.9224179232292455
0.25,HD,0.7819333832796889,0.8250645984357065,0.846059789013989,0.9306347119824545
0.25,RI,0.8608256479999825,0.9184413688446227,0.9870120509875598,0.8714822966533631
0.25,WR,0.6783844432894734,0.7051627168585948,0.6988556573814269,0.9683893573906772
0.5,RO,0.8514526251173797,0.8932090688168259,0.9999241150649107,0.8514704708440688
0.5,FV,0.7168552553214802,0.7732751318881737,0.8567644253112711,0.8548049249968399
0.5,HD,0.7804188145588223,0.8630733089473606,0.9642249043808855,0.8002319925661876
0.5,RI,0.5943816178789831,0.7011788273898054,0.831059098996294,0.7520288314488466
0.5,WR,0.38387244078644506,0.4241617979824611,0.4623832514498423,0.9072723433812847
0.75,RO,0.7650188035930721,0.7768156904781167,0.9999411044101018,0.7650196542661651
0.75,FV,0.34565852694984656,0.389246771859166,0.48417614799546405,0.7274762038597282
0.75,HD,0.5824645381170512,0.6722930058952545,0.84290167786591,0.593177911630972
0.75,RI,0.3754051311017699,0.5057459265272526,0.7895460963519543,0.5396296345309961
0.75,WR,0.3467830595925335,0.3880578364274425,0.46816725673957155,0.8581972678820593
1.0,RO,0.75,0.75,1.0,0.75
1.0,FV,0.22922180306204776,0.2709380722774144,0.48090160772524254,0.608387722602611
1.0,HD,0.368417248591525,0.42602324100384137,0.8714831385548276,0.368966718892203
1.0,RI,0.32152274744813625,0.40467155441691754,0.766808211883908,0.3514190891323125
1.0,WR,0.29504724190894815,0.3237149992745822,0.49704343221102637,0.7950755970721002
