class,image,iou,dice,precision,recall
FV,7482_F3_f000020,0.000000,0.000000,1.000000,0.000000
FV,7482_F3_f000050,0.369629,0.539750,0.969302,0.374007
FV,7482_F3_f000060,0.863575,0.926794,0.983679,0.876128
FV,7482_F3_f000070,0.584472,0.737750,0.982597,0.590586
FV,7482_F3_f000080,0.411557,0.583125,0.990671,0.413158
FV,7482_F3_f000090,0.712004,0.831779,0.978047,0.723568
FV,7482_F3_f000100,0.676788,0.807243,0.983488,0.684567
FV,7482_F3_f000110,0.678806,0.808677,0.986260,0.685287
FV,7482_F3_f000120,0.557880,0.716204,0.994542,0.559593
FV,7482_F3_f000130,0.179560,0.304452,0.997914,0.179627
FV,7482_F3_f000140,0.461883,0.631901,0.988717,0.464330
FV,7482_F3_f000150,0.681637,0.810683,0.987000,0.687812
FV,7482_F3_f000160,0.080185,0.148465,0.966335,0.080410
FV,7482_F3_f000170,0.325865,0.491551,0.989117,0.327038
FV,7482_F3_f000180,0.160111,0.276027,0.989776,0.160376
FV,7482_F3_f000190,0.634082,0.776072,0.995848,0.635763
FV,7482_F3_f000200,0.120832,0.215611,0.980882,0.121117
FV,7585_F3_f000000,0.000000,0.000000,1.000000,0.000000
FV,7585_F3_f000010,0.000000,0.000000,1.000000,0.000000
FV,7585_F3_f000020,0.000000,0.000000,1.000000,0.000000
FV,7585_F3_f000030,0.000000,0.000000,1.000000,0.000000
FV,7585_F3_f000040,0.000000,0.000000,1.000000,0.000000
FV,7585_F3_f000050,0.000000,0.000000,1.000000,0.000000
FV,7585_F4_f000000,0.000000,0.000000,1.000000,0.000000
FV,7585_F4_f000010,0.000000,0.000000,1.000000,0.000000
FV,7585_F4_f000020,0.000000,0.000000,1.000000,0.000000
FV,7585_F4_f000030,0.000000,0.000000,1.000000,0.000000
FV,7585_F4_f000040,0.000000,0.000000,1.000000,0.000000
FV,7585_F4_f000050,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000050,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000100,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000110,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000120,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000140,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000150,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000170,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000180,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000190,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000200,0.005632,0.011201,0.500000,0.005664
FV,7623_F2_f000210,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000220,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000230,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000240,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000250,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000260,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000270,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000280,0.000344,0.000689,1.000000,0.000344
FV,7623_F2_f000290,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000300,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000310,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000320,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000370,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000380,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000390,0.000000,0.000000,1.000000,0.000000
