level,class,iou,dice,precision,recall
1.0,RO,0.891772836871211,0.8925548637101676,0.9970615243342515,0.8917735610341447
1.0,FV,0.4353627945701692,0.4937890231726628,0.7232968217957444,0.6080963206625547
1.0,HD,0.5504571343171668,0.5822348506072628,0.7895499159503586,0.7080331638395662
1.0,RI,0.377617742070505,0.44063881267405747,0.6123795960472113,0.6744673781777678
1.0,WR,0.43357670593732917,0.45929425844014876,0.6156040480363988,0.8069451566393377
